,Row ID,login name,condition1,condition2,student1,student2,student 3,class,Session Id,time first action,time last action,Time,Time Taken,Problem Name,Step Name,Attempt At Step,Outcome,Selection,Graph #,Method_Recognized_1_Copied,Method_Recognized_2_Copied,Action,Input,Next_Input,Feedback Text,CF(Method1),CF(Method2),CF(advice),CF(new1),CF(new2),CF(step1_1),CF(step1_2),CF(step1_3),CF(step1_4),CF(step1_5),CF(step1_6),CF(step1_7),CF(step1_8),CF(step2_1),CF(step2_2),CF(step2_3),CF(step2_4),CF(step2_5),CF(step2_6),CF(step2_7),CF(step2_8),Unnamed: 46,Unnamed: 47,Unnamed: 48,Input.1,Next_Input.1,Cleaned method 1,Cleaned method 2,cases,Time_seconds,Timeshifted,Duration
9049,ID19051,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,00:09:08,,00:09:08,,trampoline,intuition UpdateComboBox,1.0,CORRECT,intuition,,st1,st1,UpdateComboBox,Trampoline B,Sum,Good. Now please work on part 2.,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1,st1,"1 3 5 7 9,3 4 5 6 7",0.0,00:14:47,339.0
9051,ID19053,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:14:47,00:00:02,trampoline,function1 UpdateComboBox,1.0,CORRECT,function1,1.0,st1 Average,st1,UpdateComboBox,Average,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average,st1,"1 3 5 7 9,3 4 5 6 7",339.0,00:14:49,2.0
9052,ID19054,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:14:49,00:00:02,trampoline,pointsSelection1 UpdateComboBox,1.0,CORRECT,pointsSelection1,1.0,st1 Average all,st1,UpdateComboBox,all,+,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all,st1,"1 3 5 7 9,3 4 5 6 7",341.0,00:15:07,18.0
9054,ID19056,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:15:07,00:00:08,trampoline,use1 ButtonPressed,1.0,CORRECT,use1,1.0,st1 Average all Use,st1,ButtonPressed,Use,Average,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all ,st1,"1 3 5 7 9,3 4 5 6 7",359.0,00:15:15,8.0
9055,ID19057,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:15:15,00:00:08,trampoline,function2 UpdateComboBox,1.0,CORRECT,function2,2.0,st1 Average all Use,st1 Average,UpdateComboBox,Average,all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all ,st1 Average,"1 3 5 7 9,3 4 5 6 7",367.0,00:15:17,2.0
9056,ID19058,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:15:17,00:00:02,trampoline,pointsSelection2 UpdateComboBox,1.0,CORRECT,pointsSelection2,2.0,st1 Average all Use,st1 Average all,UpdateComboBox,all,Use,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all ,st1 Average all,"1 3 5 7 9,3 4 5 6 7",369.0,00:15:20,3.0
9057,ID19059,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:15:20,00:00:03,trampoline,use2 ButtonPressed,1.0,CORRECT,use2,2.0,st1 Average all Use,st1 Average all Use,ButtonPressed,Use,Dormin Button,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all ,st1 Average all ,"1 3 5 7 9,3 4 5 6 7",372.0,00:16:09,49.0
9061,ID19063,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:16:09,00:00:12,trampoline,operator1_1 UpdateComboBox,2.0,CORRECT,operator1_1,1.0,st1 Average all Use /,st1 Average all Use,UpdateComboBox,/,/,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all /,st1 Average all ,"1 3 5 7 9,3 4 5 6 7",421.0,00:16:29,20.0
9062,ID19064,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:16:29,00:00:20,trampoline,operator2_1 UpdateComboBox,1.0,CORRECT,operator2_1,2.0,st1 Average all Use /,st1 Average all Use /,UpdateComboBox,/,Submit Results,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all /,st1 Average all /,"1 3 5 7 9,3 4 5 6 7",441.0,00:16:58,29.0
9064,ID19066,horse5lion5,Savanna,Savanna,horse,lion,,5,L-10f11766:120ecd4f63a:-8000,,,00:16:58,00:00:07,trampoline,function2 UpdateComboBox,2.0,CORRECT,function2,2.0,st1 Average all Use /,st1 Average all Use / Average,UpdateComboBox,Average,Delete all,,,,,"1 ""3"" ""5"" ""7"" ""9""","3 ""4"" ""5"" ""6"" ""7""",,,,,,,,,,,,,,,,,,,,,,st1 Average all /,st1 Average all / Average,"1 3 5 7 9,3 4 5 6 7",470.0,00:19:02,124.0
